TamanoMatriz;Procesos;Tiempo
100;2;0.029168
100;4;0.030664
100;8;0.032006
100;6;0.038756
300;2;0.032479
300;4;0.033238
300;6;0.035411
300;8;0.033159
500;2;0.034520
500;4;0.059849
700;2;0.035533
500;8;0.056179
500;6;0.058392
700;4;0.058072
900;2;0.036523
700;6;0.065989
700;8;0.055368
900;4;0.060037
1100;2;0.037012
900;6;0.059239
900;8;0.056047
1100;4;0.061212
1300;2;0.057916
1100;6;0.061757
1100;8;0.057080
1300;4;0.058485
1500;2;0.042848
1300;6;0.061916
1300;8;0.056881
1500;4;0.061799
1700;2;0.077316
1500;6;0.064152
1500;8;0.059353
1700;4;0.063307
1900;2;0.056562
1700;6;0.064475
1700;8;0.061526
1900;4;0.066475
2100;2;0.054313
1900;6;0.066867
1900;8;0.061762
2100;4;0.070538
2300;2;0.069746
2100;6;0.067553
2100;8;0.062672
2300;4;0.078919
2300;6;0.071830
2300;8;0.065794
2500;2;0.064554
2500;4;0.090254
2500;6;0.070150
2700;2;0.067251
2500;8;0.065370
2700;4;0.083393
2700;6;0.075019
2900;2;0.072761
2700;8;0.066178
2900;4;0.088265
2900;6;0.074765
3100;2;0.093150
2900;8;0.068078
3100;4;0.087503
3300;2;0.087675
3100;6;0.077982
3100;8;0.094826
3300;4;0.094186
3500;2;0.091941
3300;6;0.084006
3300;8;0.074381
3500;4;0.096819
3700;2;0.133226
3500;6;0.087380
3500;8;0.077128
3700;4;0.103184
3900;2;0.150866
3700;6;0.091753
3700;8;0.077752
3900;4;0.106249
3900;6;0.098325
4100;2;0.148853
3900;8;0.086920
4100;4;0.118572
4100;6;0.100476
4300;2;0.127211
4100;8;0.085389
4300;4;0.120967
4300;6;0.105138
4500;2;0.136546
4300;8;0.087713
4500;4;0.126701
4500;6;0.107713
4700;2;0.194269
4500;8;0.089127
4700;4;0.136008
4700;6;0.112386
4900;2;0.203995
4700;8;0.093368
4900;4;0.131174
4900;6;0.120138
4900;8;0.096515
5100;2;0.164534
5100;4;0.141572
5100;6;0.124208
5100;8;0.101651
5300;2;0.230585
5300;4;0.880483
5300;6;0.128044
5300;8;0.106461
5500;2;0.218496
5500;4;0.156879
5500;6;0.140876
5500;8;0.115145
5700;2;0.268795
5700;4;0.171250
5700;6;0.144426
5700;8;0.119901
5900;2;0.206966
5900;4;0.176865
5900;6;0.150962
5900;8;0.119822
6100;2;0.277237
6100;4;0.186478
6100;6;0.152026
6100;8;0.127311
6300;2;0.242478
6300;4;0.199467
6300;6;0.164126
6300;8;0.130609
6500;2;0.304762
6500;4;0.215780
6500;6;0.166964
6500;8;0.134729
6700;2;0.307723
6700;4;0.205507
6700;6;0.177588
6700;8;0.139928
6900;2;0.307672
6900;4;0.198777
6900;6;0.182720
6900;8;0.145581
7100;2;0.360148
7100;4;0.225014
7100;6;0.187708
7100;8;0.152865
7300;2;0.357729
7300;4;0.216980
7300;6;0.195609
7300;8;0.160098
7500;2;0.388544
7500;4;0.233917
7500;6;0.208653
7500;8;0.167351
7700;2;0.344563
7700;4;0.238384
7700;6;0.213750
7700;8;0.174929
7900;2;0.438891
7900;4;0.251096
7900;6;0.225269
7900;8;0.180976
8100;2;0.379716
8100;4;0.258138
8100;6;0.230470
8100;8;0.198633
8300;2;0.466877
8300;4;0.300511
8300;6;0.239072
8300;8;0.199983
8500;2;0.505752
8500;4;0.274683
8500;6;0.252020
8500;8;0.207999
8700;2;0.517719
8700;4;0.294010
8700;6;0.261086
8700;8;0.219237
8900;2;0.443524
8900;4;0.302391
8900;6;0.270877
8900;8;0.225106
9100;2;0.497780
9100;4;0.324466
9100;6;0.272509
9100;8;0.233732
9300;2;0.518644
9300;4;0.327888
9300;6;0.285988
9300;8;0.247065
9500;2;0.535159
9500;4;0.337810
9500;6;0.293013
9500;8;0.252396
9700;2;0.553774
9700;4;0.360303
9700;6;0.308916
9700;8;0.262251
9900;2;0.550049
9900;4;0.356135
9900;6;0.314440
9900;8;0.271725
10100;2;0.611706
10100;4;0.370124
10100;6;0.334082
10100;8;0.282870
10300;2;0.670070
10300;4;0.378195
10300;6;0.342622
10300;8;0.292591
10500;2;0.673368
10500;4;0.401625
10500;6;0.355578
10500;8;0.303218
10700;2;0.747770
10700;4;0.428462
10700;6;0.358310
10700;8;0.313758
10900;2;0.675451
10900;4;0.445838
10900;6;0.379783
10900;8;0.322946
11100;2;0.769029
11100;4;0.441715
11100;6;0.380925
11100;8;0.335969
11300;2;0.734078
11300;4;0.455216
11300;6;0.394859
11300;8;0.346232
11500;2;0.756767
11500;4;0.483481
11500;6;0.403888
11500;8;0.356814
11700;2;0.764260
11700;4;0.492200
11700;6;0.421544
11700;8;0.369112
11900;2;0.874864
11900;4;0.546950
11900;6;0.437000
11900;8;0.380645
12100;2;0.924227
100;10;0.034099
100;12;0.054045
300;12;0.033071
300;10;0.034451
500;12;0.032632
500;10;0.032020
700;10;0.055005
700;12;0.055099
900;10;0.054774
900;12;0.057602
1100;10;0.056431
1100;12;0.057451
12100;4;0.537681
1300;12;0.060271
1300;10;0.056068
1500;10;0.059162
1500;12;0.060914
1700;10;0.056247
1700;12;0.062145
1900;10;0.062853
1900;12;0.066167
12100;6;0.442402
2100;10;0.061706
2100;12;0.065828
2300;10;0.060478
2300;12;0.067455
2500;10;0.063003
2500;12;0.068183
2700;10;0.063816
2700;12;0.070393
12100;8;0.392961
2900;10;0.065673
2900;12;0.071507
3100;10;0.066053
3100;12;0.076657
3300;10;0.068708
3300;12;0.077965
12300;2;0.851933
3500;10;0.069845
3500;12;0.080991
3700;10;0.073342
3700;12;0.082225
12300;4;0.522756
3900;10;0.074462
3900;12;0.082967
4100;10;0.077055
4100;12;0.085674
4300;10;0.081592
12300;6;0.466953
4300;12;0.089284
4500;10;0.085310
4500;12;0.089889
12300;8;0.400566
4700;10;0.086818
4700;12;0.096455
12500;2;0.938410
4900;10;0.088942
4900;12;0.099316
5100;10;0.091827
5100;12;0.103904
12500;4;0.952040
5300;10;0.095886
5300;12;0.108442
12500;6;0.481307
5500;10;0.100561
5500;12;0.115401
12500;8;0.418123
5700;10;0.107664
5700;12;0.119845
12700;2;0.901634
5900;10;0.110527
5900;12;0.125060
12700;4;0.581999
6100;10;0.118212
6100;12;0.131686
12700;6;0.485719
6300;10;0.123266
6300;12;0.134969
12700;8;0.429046
6500;10;0.128417
6500;12;0.140837
12900;2;0.913327
6700;10;0.134813
6700;12;0.144136
12900;4;0.568556
6900;10;0.142055
6900;12;0.148440
12900;6;0.508477
12900;8;0.443709
7100;10;0.148712
7100;12;0.154234
13100;2;0.958492
7300;10;0.160187
7300;12;0.163454
13100;4;0.600103
13100;6;0.507002
7500;10;0.163171
7500;12;0.169205
13100;8;0.454641
7700;10;0.169154
7700;12;0.179435
13300;2;1.053244
13300;4;0.638052
7900;10;0.178104
7900;12;0.184398
13300;6;0.537342
8100;10;0.186544
8100;12;0.190040
13300;8;0.470499
13500;2;1.071446
8300;10;0.197694
8300;12;0.194686
13500;4;0.668398
8500;10;0.205290
8500;12;0.200387
13500;6;0.553598
13500;8;0.484104
8700;10;0.212043
8700;12;0.209902
13700;2;1.072133
13700;4;0.648565
8900;10;0.217959
8900;12;0.215226
13700;6;0.568728
13700;8;0.494115
9100;10;0.227864
9100;12;0.225048
9300;10;0.238114
9300;12;0.231722
9500;10;0.243189
9500;12;0.243673
9700;10;0.254266
9700;12;0.258940
100;14;0.021557
100;16;0.045064
100;20;0.019511
100;18;0.022601
300;14;0.031895
300;16;0.058111
300;20;0.027178
300;18;0.031204
9900;10;0.267562
9900;12;0.263161
500;16;0.033603
500;14;0.031950
500;18;0.035535
