TamanoMatriz;Procesos;Tiempo
10900;2;1.118461
10900;4;0.923333
10900;6;0.858519
10900;8;0.833668
10900;10;0.813938
10900;12;0.781077
10900;14;0.817823
10900;16;0.811439
11100;2;1.157248
11100;4;0.947792
11100;6;0.885760
11100;8;0.846715
11100;10;0.830416
11100;12;0.818549
11100;14;0.830379
11100;16;0.826906
11300;2;1.191508
11300;4;0.963454
11300;6;0.913203
11300;8;0.869377
11300;10;0.850847
11300;12;0.847081
11300;14;0.854235
11300;16;0.841052
11500;2;1.230462
11500;4;1.001984
11500;6;0.945032
11500;8;0.916479
11500;10;0.904223
11500;12;0.875589
11500;16;0.904669
11500;14;0.909233
10900;18;0.782672
10900;22;0.777701
10900;20;0.787705
11700;2;1.285601
11700;4;1.038150
11700;6;0.972017
11700;8;0.926776
11700;10;0.924205
11700;12;0.904043
11100;18;0.808286
11100;22;0.804829
11100;20;0.818038
11700;14;0.929735
11700;16;0.922623
11900;2;1.335787
11900;4;1.075915
11900;6;1.008055
11900;8;0.958373
11900;10;0.950267
11900;12;0.936856
11300;18;0.836631
11300;22;0.835932
11300;20;0.838533
11900;14;0.959944
11900;16;0.943651
12100;2;1.373987
12100;4;1.113609
12100;6;1.039534
12100;8;0.990360
12100;10;0.974783
11500;18;0.867617
12100;12;0.969689
11500;22;0.862795
11500;20;0.874100
12100;14;0.978584
12100;16;0.976915
12300;2;1.425684
12300;4;1.148611
12300;6;1.072008
12300;8;1.019404
12300;10;1.003412
11700;18;0.891019
11700;20;0.894909
11700;22;0.886796
12300;12;1.002929
12300;14;1.002505
12300;16;1.009452
12500;2;1.454217
12500;4;1.158478
12500;6;1.107062
12500;8;1.055187
12500;10;1.038838
10900;26;0.821863
11900;18;0.932286
11900;20;0.933816
10900;24;0.821593
11900;22;0.923391
12500;12;1.029944
12500;14;1.032152
12500;16;1.023023
12700;2;1.495830
12700;4;1.201858
12700;6;1.139898
12700;8;1.087340
11100;26;0.849911
11100;24;0.825009
12100;18;0.956396
12100;20;0.962859
12700;10;1.067102
12100;22;0.954219
12700;12;1.062611
12700;14;1.064872
12700;16;1.059687
12900;2;1.540315
12900;4;1.241059
12900;6;1.171713
11300;24;0.878659
11300;26;0.881697
12900;8;1.120138
12300;18;0.985515
12300;20;0.992446
12300;22;0.984707
12900;10;1.101929
10900;28;0.790543
10900;34;0.797432
12900;12;1.094704
10900;32;0.805418
10900;30;0.798478
12900;14;1.095206
12900;16;1.091718
13100;2;1.586212
10900;36;0.795247
13100;4;1.274287
10900;38;0.860498
11500;26;0.908794
13100;6;1.207928
11500;24;0.909337
13100;8;1.154818
11100;28;0.800237
11100;34;0.824745
12500;18;1.014495
12500;20;1.029867
12500;22;1.012994
13100;10;1.138302
11100;32;0.835156
11100;30;0.827845
13100;12;1.129780
13100;14;1.129680
13100;16;1.123774
13300;2;1.629150
13300;4;1.322145
11700;26;0.892570
11300;28;0.841636
11700;24;0.909686
13300;6;1.242065
11300;34;0.855750
13300;8;1.190207
12700;18;1.045496
12700;20;1.066961
12700;22;1.047753
11100;38;0.877102
11300;30;0.867673
11300;32;0.852690
13300;10;1.170376
11100;36;0.820572
13300;12;1.159622
13300;14;1.158445
13300;16;1.156733
13500;2;1.684859
11500;28;0.875108
13500;4;1.346244
11900;24;0.946729
11900;26;0.969589
11500;34;0.883666
13500;6;1.281399
10900;42;0.906888
13500;8;1.222783
10900;40;1.039690
12900;18;1.080071
12900;20;1.086098
11500;32;0.880444
12900;22;1.079196
11500;30;0.866156
13500;10;1.205729
13500;12;1.194881
11300;38;0.884207
11300;36;0.848734
11700;28;0.896898
13500;14;1.197482
12100;24;0.969038
11700;34;0.908579
13700;2;1.724209
12100;26;1.002839
13500;16;1.189559
13700;4;1.391238
13700;6;1.317638
11700;32;0.899976
13700;8;1.257322
13100;18;1.112395
11700;30;0.907466
13100;20;1.113064
13100;22;1.110161
13700;10;1.242528
11100;42;0.932720
13700;12;1.232156
11900;28;0.925222
11100;40;1.244864
11900;34;0.941766
12300;24;0.994544
12300;26;1.034154
13700;14;1.229328
13900;2;1.785311
13900;4;1.427513
11500;38;0.918799
13700;16;1.222649
13900;6;1.352020
11900;32;0.932338
11900;30;0.930825
13300;18;1.145325
11500;36;0.877779
13900;8;1.297587
13300;20;1.152644
13300;22;1.140393
13900;10;1.274499
12100;28;0.956967
13900;12;1.274228
12100;34;0.972191
12500;24;1.029654
12500;26;1.073935
11300;42;0.989693
14100;2;1.831427
13900;14;1.265530
14100;4;1.458479
13900;16;1.260789
12100;32;0.965616
11300;40;1.214310
12100;30;0.965233
14100;6;1.394285
11700;38;0.962370
13500;18;1.181254
13500;20;1.186959
14100;8;1.333007
13500;22;1.176458
12300;28;0.985187
14100;10;1.312463
12300;34;1.000721
12700;24;1.051424
11700;36;0.901707
14100;12;1.305586
12700;26;1.101209
14300;2;1.884301
14100;14;1.297432
14300;4;1.512061
12300;32;0.999701
11500;42;1.051133
12300;30;0.998896
14100;16;1.289380
14300;6;1.429146
13700;18;1.215572
13700;20;1.212494
14300;8;1.366028
12500;28;1.015546
13700;22;1.212670
12500;34;1.032234
14300;10;1.349786
12900;24;1.083571
11500;40;1.166911
11900;38;0.988181
14300;12;1.337204
12900;26;1.131334
14500;2;1.937729
14500;4;1.551080
12500;32;1.023497
11900;36;0.935025
14300;14;1.337784
12500;30;1.023513
14300;16;1.326835
14500;6;1.468651
11700;42;1.032228
13900;18;1.248282
12700;28;1.045908
13900;20;1.250665
14500;8;1.407410
12700;34;1.062091
13900;22;1.245477
13100;24;1.118923
14500;10;1.384733
13100;26;1.170477
14500;12;1.384183
14700;2;1.985803
12100;38;1.030241
12700;32;1.060582
14700;4;1.594593
12700;30;1.065644
14500;14;1.372140
11700;40;1.217656
12900;28;1.082163
14700;6;1.510530
14100;18;1.284626
14500;16;1.370880
12900;34;1.097161
14100;20;1.290967
13300;24;1.150408
14700;8;1.449222
11900;42;1.037950
12100;36;1.299146
14100;22;1.281664
14700;10;1.422211
13300;26;1.207307
