TamanoMatriz;Procesos;Tiempo
1;2;0.029862
51;2;0.032341
101;2;0.031838
151;2;0.032187
201;2;0.031962
251;2;0.032514
301;2;0.035093
351;2;0.035475
401;2;0.036152
451;2;0.036547
501;2;0.037055
551;2;0.037419
601;2;0.037968
651;2;0.038707
701;2;0.039686
751;2;0.039743
801;2;0.041145
851;2;0.042027
901;2;0.042465
951;2;0.043706
1001;2;0.154678
1051;2;0.046129
1101;2;0.047020
1151;2;0.048060
1201;2;0.050213
1251;2;0.146864
1;4;0.022497
1;6;0.024889
51;4;0.028612
51;6;0.029276
101;4;0.025641
151;4;0.026219
101;6;0.035056
201;4;0.028393
251;4;0.024871
151;6;0.037079
301;4;0.031020
351;4;0.053114
201;6;0.035244
401;4;0.053209
251;6;0.035231
451;4;0.053769
301;6;0.031802
501;4;0.054015
351;6;0.031522
551;4;0.054509
401;6;0.032164
601;4;0.054916
451;6;0.054013
651;4;0.055826
501;6;0.058652
701;4;0.056679
551;6;0.056485
751;4;0.056618
601;6;0.058849
801;4;0.057152
651;6;0.057426
851;4;0.057590
701;6;0.060027
901;4;0.058422
751;6;0.057676
801;6;0.061400
951;4;0.059487
851;6;0.062447
1001;4;0.060022
901;6;0.062478
1051;4;0.060398
951;6;0.059921
1101;4;0.061400
1001;6;0.059868
1151;4;0.063416
1051;6;0.061352
1201;4;0.062688
1101;6;0.066237
1251;4;0.063453
1151;6;0.064571
1201;6;0.067392
1251;6;0.067332
1;18;0.003584
1;16;0.000787
1;14;0.009831
1;20;0.000793
1;22;0.000038
1;8;0.000917
1;12;0.013405
1;10;0.023554
51;14;0.032982
51;16;0.023708
51;18;0.023095
51;8;0.038294
51;22;0.021884
51;10;0.028344
51;12;0.026416
51;20;0.025523
101;14;0.034747
101;16;0.025043
101;18;0.022943
101;22;0.026585
101;8;0.020493
101;20;0.019694
101;10;0.029238
101;12;0.035170
151;16;0.022692
151;14;0.027393
151;18;0.023645
151;22;0.020599
151;8;0.021830
151;20;0.018685
151;10;0.037235
151;12;0.033398
201;14;0.032142
201;16;0.019168
201;18;0.030616
201;20;0.037527
201;22;0.024102
201;8;0.032940
201;10;0.037303
201;12;0.035299
251;16;0.020434
251;14;0.031185
251;18;0.024592
251;20;0.034779
251;22;0.042744
251;8;0.028792
251;10;0.036773
251;12;0.029882
301;14;0.037571
301;16;0.032429
301;18;0.019502
301;8;0.041644
301;10;0.026157
301;12;0.041866
301;20;0.031949
301;22;0.033865
351;16;0.029031
351;14;0.033171
351;18;0.027677
351;8;0.038692
351;10;0.035401
351;12;0.034463
351;20;0.038989
401;8;0.032542
351;22;0.031258
401;14;0.037727
401;16;0.032482
401;18;0.032892
401;10;0.038106
401;12;0.036680
451;8;0.034714
451;14;0.037723
451;16;0.033469
451;10;0.033311
401;20;0.039288
401;22;0.035736
451;18;0.033429
451;12;0.036383
501;8;0.055850
501;14;0.044376
501;16;0.033546
451;20;0.041154
451;22;0.036438
501;12;0.033682
551;8;0.058933
551;14;0.041348
551;10;0.056757
551;16;0.033827
551;12;0.035522
551;18;0.033489
501;22;0.036143
501;20;0.035454
601;8;0.061958
